"Arroz Para Sushi Organico LUNDBERG 11.3kg","Arroz Organico Para Sushi","Organic Sushi Rice","Organic Sushi Rice, Japonica Rice","LUNDBERG","","11300","USA","","NO APLICA","","","NO","Bolsa","60X28X8,7","11465","12","0","","1","ARROZ SUSHI ORGANICO JFC 25 LB","Arroz Para Suhi Organico California","Arroz Organico De Grano Mediano","Preparacion De Sushi","","Bolsa","1","","","","","073416401617","08-083941","USA","LUNDBERG FAMILY FARMS","USA","SI","","15","JFC","simple","Default","","Enabled","Catalog, Search","cada 45g contiene:; proteinas 4g; calorias 150; grasa 0; carbohidratos 35g; sodio 0mg, colesterol 0mg","/productos/arroces_y_harinas/arroz-para-sushi-organico-lundberg-11.3k.jpg","empaque de venta al mayoreo: tipo de empaque: Bolsa; unidades: 1; sub-empaque interno: N.A; peso neto (Kg): ; peso bruto (Kg): ; dimensiones del empaque (cm) (AxAxP): ","100","1","1" 
"Arroz  HANASYO 22.68kg","Arroz Para Sushi","Sushi Rice","Sushi Rice, Japonica Rice","HANASYO","","22680","USA","","NO APLICA","","","NO","Bolsa","55X36X12","22940","12","0","","1","ARROZ SUSHI HANSYO JFC X 50LB","Arroz Blanco","Arroz De Mediano Grano Tipo Calrose","Preparacion De Sushi","","Bolsa","1","","","","","022772775009","08-05416","JAPON","","USA","SI","","15","JFC","simple","Default","","Enabled","Catalog, Search","cada 45g contiene:; proteinas 3g; calorias 155; grasa 0; carbohidratos 35g; sodio 0mg, colesterol 0mg","/productos/arroces_y_harinas/arroz-para-sushi-hanasyo-50lb.jpg","empaque de venta al mayoreo: tipo de empaque: Bolsa; unidades: 1; sub-empaque interno: N.A; peso neto (Kg): ; peso bruto (Kg): ; dimensiones del empaque (cm) (AxAxP): ","100","1","1" 
"Arroz Para Sushi NISHIKI 22.7 kg.","Arroz Para Sushi","Sushi Rice","Sushi Rice, Japonica Rice","NISHIKI","","22727","USA","907g","RSiA10I28105","42039","","NO","Bolsa","60x37x11,6","23080","24","0","","1","ARROZ SUSHI NISHIKI JFC x 50lbs","100% Granos De Arroz Mediano","Arroz De Mediano Grano","Preparacion De Sushi","","Bolsa","1","","","","","011152012377","08-28580","USA","JFC INTERNATIONAL INC","USA","SI","","15","JFC","simple","Default","","Enabled","Catalog, Search","cada 42g contiene:; proteinas 3g; calorias 150; grasa 0; carbohidratos 33g; sodio 0mg","/productos/arroces_y_harinas/arroz-para-sushi-nishiki-50lb.jpg","empaque de venta al mayoreo: tipo de empaque: Bolsa; unidades: 1; sub-empaque interno: N.A; peso neto (Kg): ; peso bruto (Kg): ; dimensiones del empaque (cm) (AxAxP): ","100","1","1" 
"Arroz Para Sushi NISHIKI 907 g.","Arroz Para Sushi","Sushi Rice","Sushi Rice, Japonica Rice","NISHIKI","","907","USA","22.7kg","RSiA10I28105","42039","","NO","Bolsa","13x18x3","928","24","0","","12","ARROZ SUSHI NISHIKI JFC 12x2lbs","100% Granos De Arroz Mediano","Arroz De Mediano Grano","Preparacion De Sushi","","Caja","12","","11,55","18x27,8x24,5","","011152066301","08-06630","USA","JFC INTERNATIONAL INC","USA","","SI","15","JFC","simple","Default","15000","Enabled","Catalog, Search","cada 42g contiene:; proteinas 3g; calorias 150; grasa 0; carbohidratos 33g; sodio 0mg","/productos/arroces_y_harinas/arroz-para-sushi-2lb.jpg","empaque de venta al mayoreo: tipo de empaque: Caja; unidades: 12; sub-empaque interno: N.A; peso neto (Kg): 11,136; peso bruto (Kg): 11,55; dimensiones del empaque (cm) (AxAxP): 18x27,8x24,5","100","1","1" 
"Azucar De Palma BAN DTAHN BUK 1 kg.","Azucar De Palma","Palm Sugar","Palm Sugar","BAN DTAHNBUK","","1000","TAILANDIA","","USO INSTITUCIONAL","","","NO","Bolsa","20x14x3,5","1004","24","16","","10","AZUCAR PALMA THAI 10x1k","Azucar De Palma","Azucar Derivado De Una Palma Tailandesa En Forma De Sirope Pesado","Postres, Salsas, Y Stir Fry","","Caja","10","","10,34","19x29,5x19,7","","8857103290034","05-031","TAILANDIA","BAN DTAHN BOK","TAILANDIA","SI","","12","THAI","simple","Default","","Enabled","Catalog, Search","","/productos/condimentos/azucar-de-palma.jpg","empaque de venta al mayoreo: tipo de empaque: Caja; unidades: 10; sub-empaque interno: N.A; peso neto (Kg): 10,04; peso bruto (Kg): 10,34; dimensiones del empaque (cm) (AxAxP): 19x29,5x19,7","100","1","1" 
"Azucar De Palma En Panelas CK 454 g.","Azucar De Palma","Palm Sugar Blocks","Palm Sugar Blocks, Coconut Sugar","CK","","454","TAILANDIA","","USO INSTITUCIONAL","","","NO","Bolsa","18x14x4,5","456","24","16","","24","AZUCAR DE PALMA(Panelas)THAI 24x245Gr (04-02000)","Azucar De Palma","Azucar Derivado De Una Palma Tailandesa En Forma Solida","Postres, Salsas, Y Stir Fry","","Caja","24","","11,53","19,5x40,5x27,5","","","04-02000","TAILANDIA","FOOD TRADING CO","TAILANDIA","SI","","12","THAI","simple","Default","","Enabled","Catalog, Search","","/productos/condimentos/azucar-de-palma-panelitas.jpg","empaque de venta al mayoreo: tipo de empaque: Caja; unidades: 24; sub-empaque interno: N.A; peso neto (Kg): 10,944; peso bruto (Kg): 11,53; dimensiones del empaque (cm) (AxAxP): 19,5x40,5x27,5","100","1","1" "Barco En Madera Para Sushi ","Barco Para Sushi","Sushi Boat","Sushi Boat","KKFOOD","","1","TAILANDIA","","NO APLICA","","","NO","Bolsa","","","","16","","1","BARCO PARA SUSHI 18""","","Barco En Madera 68 Cm. De Largo","Para Servir Sushi","","Caja","1","","","","","","05-00020","TAILANDIA","K K FOODS","TAILANDIA","SI","","13","UTENCILIOS","simple","Default","","Enabled","Catalog, Search","","/productos/utensilios/barco-para-sushi.jpg","empaque de venta al mayoreo: tipo de empaque: Caja; unidades: ; sub-empaque interno: N.A; peso neto (Kg): ; peso bruto (Kg): ; dimensiones del empaque (cm) (AxAxP): ","100","1","1" 
"Bonito Flakes  1Lb","Virutas De Bonito Deshidratado","Bonito Flakes","Bonito Flakes, Katsuo","","","500","JAPON","","NO APLICA","","","NO","Bolsa","47X34X5","538","12","16","","5","DRIED SHAVED BONITO JFC 1x 1Lb","Virutas De Bonito Deshidratado","Virutas Deshidratadas Del Pescado Bonito","Preparacion De Caldos Y Salsas Japonesas, Topping De Platos Japoneses","","Caja","5","","4","","","4902833254505","08-55007","JAPON","","USA","SI","","11","JFC","simple","Default","","Enabled","Catalog, Search","cada 2g contiene:; proteinas 1g; calorias 5; grasa 0; carbohidratos 0g; sodio 10mg, colesterol 5mg","/productos/otros/bonito-flakes.jpg","empaque de venta al mayoreo: tipo de empaque: Caja; unidades: 5; sub-empaque interno: N.A; peso neto (Kg): 2,69; peso bruto (Kg): 4; dimensiones del empaque (cm) (AxAxP): ","100","1","1" 
"Bowl De Melamina Con Tapa ","Bowl Con Tapa De Melamina","Melamine Bowl With Cap","Melamine Bowl With Cap, ","","","1","CHINA","","NO APLICA","","","NO","Bolsa","10,1X9,5X9,5","126","","16","","160","BOWL MELANINA CON TAPA","","Bowl Estilo Japones Diametro De 9,5Cm Y Altura De 10Cm.","Para Servir Y Mantener Caliente Sopas Y Arroz","","Caja","160","","","","","","06-684","CHINA","","CHINA","SI","","13","UTENCILIOS","simple","Default","4741,37","Enabled","Catalog, Search","","/productos/utensilios/bowl-con-tapa.jpg","empaque de venta al mayoreo: tipo de empaque: Caja; unidades: 160; sub-empaque interno: N.A; peso neto (Kg): ; peso bruto (Kg): ; dimensiones del empaque (cm) (AxAxP): ","100","1","1" 
"Bowl De Melamina","Bowl De Melamina","Melamine Bowl ","Melamine Bowl","","","1","CHINA","","NO APLICA","","","NO","Bolsa","5,5X11,7X11,7","108","","16","","160","BOWL MELANINA ","","Bowl Estilo Japones Diametro De 11,7Cm Y Altura De 5,5Cm.","Para Servir Ensaladas, Sopas Y Arroz","","Caja","160","","","","","","05-683","CHINA","","CHINA","SI","","13","UTENCILIOS","simple","Default","","Enabled","Catalog, Search","","/productos/utensilios/bowl-melamina2.jpg","empaque de venta al mayoreo: tipo de empaque: Caja; unidades: 160; sub-empaque interno: N.A; peso neto (Kg): ; peso bruto (Kg): ; dimensiones del empaque (cm) (AxAxP): ","100","1","1" 
"Brotes De Bambu CHAOKOH 565 g.","Brotes De Bambu","Bamboo Shoots","Bamboo Shoots, Winter Bamboo Shoots","CHAOKOH","","565","TAILANDIA","","RSiA05l29703","41596","","NO","Lata","11,5x8x8","650","36","16","","24","BROTES DE BAMBU TAJADOS THAI 24x565Gr","Brotes De Bambu, Agua, Acido Citrico Y Eritorbato De Sodio","Brotes Comestibles De La Parte Mas Suave Del Bambu","Ingrediente En Muchas Cocinas Asiaticas Para Stir Fry, Ensaladas","","Caja","24","","16","24,5x35,5x27","","044738219501","04-21950","TAILANDIA","TAILANDIA PODUNG PORN COCONUT","TAILANDIA","","SI","9","THAI","simple","Default","6896,55","Enabled","Catalog, Search","cada 140g contiene:; proteinas 1g; calorias 25; grasa 0; carbohidratos 4g; sodio 14mg; ","/productos/enlatados_y_conservas/brotes-de-bamboo-tajados-chaokoh.jpg","empaque de venta al mayoreo: tipo de empaque: Caja; unidades: 24; sub-empaque interno: N.A; peso neto (Kg): 15,6; peso bruto (Kg): 16; dimensiones del empaque (cm) (AxAxP): 24,5x35,5x27","100","1","1" 
"Cachaza YPIOCA Cristal 1 lt.","Cachaza Cristal X 1 L","Cacha?a","Cacha?a","YPIOCA","1000","","BRASIL","700ml","2005L-0002220","42197","","NO","Frasco ","31,8X8X8","1510","","16","23205","6","CACHAZA CRISTAL YPIOCA 6x1lt (14-0216)","","Aguardiente Brasileiro Hecho De Caña De Azucar Con Contenido Alcoholico De 39%","Preparacion De Caipirinha, Cocteles Con Frutas","","Caja","6","","9,1","34x27x19,3","","7896383700216","14-0216","BRASIL","YPIOCA AGRO-INDUSTRIAL","","","SI","10","LICORES","simple","Default","45000","Enabled","Catalog, Search","","/productos/bebidas/cachaca-crystal- ypioca-1lt.jpg","empaque de venta al mayoreo: tipo de empaque: Caja; unidades: 6; sub-empaque interno: N.A; peso neto (Kg): 9,06; peso bruto (Kg): 9,1; dimensiones del empaque (cm) (AxAxP): 34x27x19,3","100","1","1" 
"Cachaza YPIOCA Cristal 700 ml.","Cachaza Cristal X 700","Cacha?a","Cacha?a","YPIOCA","700","","BRASIL","1lt","2005L-0002220","42197","","NO","Frasco ","29X7X7","1072","","16","15795","6","CACHAZA CRISTAL YPIOCA 6x700ml (14-0315)","","Aguardiente Brasileiro Hecho De Caña De Azucar Con Contenido Alcoholico De 39%","Preparacion De Caipirinha, Cocteles Con Frutas","","Caja","6","","6,67","29,5x16x24","","7896383700315","14-0315","BRASIL","YPIOCA AGRO-INDUSTRIAL","","","SI","10","LICORES","simple","Default","","Enabled","Catalog, Search","","/productos/bebidas/cachaca-crystal- ypioca-700.jpg","empaque de venta al mayoreo: tipo de empaque: Caja; unidades: 6; sub-empaque interno: N.A; peso neto (Kg): 6,432; peso bruto (Kg): 6,67; dimensiones del empaque (cm) (AxAxP): 29,5x16x24","100","1","1" 
